0.31,0.865,0.95,0.4116465863,0.1715490347
0.58,0.73875,0.4,0.4457831325,0.5338162157
0.71,0.60875,0.9,0.4477911647,0.4776557453
0.45,0.575,0.7,0.2489959839,0.4132687798
0.8,0.695,0.85,0.4718875502,0.4875800896
0.15,0.84,0.65,0.0923694779,0.1150246701
0.43,0.8775,0.85,0.875502008,0.2478531276
0.22,0.54875,0.45,0.4518072289,0.3081635647
0.84,0.81,0.9,0.0060240964,0.4416952325
0.25,0.32375,0.35,0.4779116466,0.5502819297
0.64,0.9075,0.95,0.7931726908,0.3163379974
0.5,0.68,0.6,0.8353413655,0.4278236296
0.91,0.3725,0.9,0.6807228916,0.6381487658
0.14,0.77375,0.75,0.7891566265,0.1048292876
0.49,0.35875,0.65,0.8453815261,0.6006466684
0.21,0.6075,0.5,0.90562249,0.2548153959
0.4,0.49125,0.65,0.3172690763,0.4407453552
0.67,0.36,0.6,0.5040160643,0.6990387191
0.14,0.36375,0.7,0.4036144578,0.2260787192
0.41,0.56625,0.15,0.8473895582,0.6549643298
0.34,0.62875,0.7,0.9939759036,0.3074773053
0.28,0.4425,0.8,0.1485943775,0.3204950945
0.12,0.505,0.8,0.3032128514,0.1303450057
0.64,0.99625,0.25,0.8413654618,0.5544911118
0.81,0.74375,0.1,0.7068273092,0.7863058099
0.75,0.51125,0.65,0.6606425703,0.6246533381
0.53,0.49,0.9,0.0301204819,0.4530790098
0.21,0.665,0.1,0.9658634538,0.4403128141
0.59,0.4575,0.45,0.0522088353,0.6593018749
0.59,0.755,0.8,0.4196787149,0.3829757521
0.55,0.70375,1,0.5542168675,0.332569033
0.3,0.55625,0.4,0.4437751004,0.4152086757
0.1,0.40625,0.7,0.7530120482,0.1480030802
0.84,0.90875,0.8,0.4819277108,0.4347331056
0.13,0.3525,0.35,0.2751004016,0.325177983
0.87,0.3175,0.5,0.1546184739,0.7009634118
0.27,0.68,0.75,0.140562249,0.2235094447
0.37,0.68875,0.6,0.8734939759,0.3357379099
0.46,0.55125,0.05,0.0401606426,0.7623762968
0.15,0.33875,0.1,0.640562249,0.5446919435
0.93,0.46875,0.05,0.5823293173,0.8902587761
0.97,0.31375,0.2,0.6204819277,0.802953815
0.88,0.28,0.7,0.624497992,0.6773292969
0.9,0.38875,0.9,0.4337349398,0.6240208495
0.16,0.3775,0.7,0.5220883534,0.2466032075
0.32,0.91625,0.6,0.3232931727,0.2310667063
0.44,0.74875,0.25,0.4357429719,0.525210577
0.89,0.41,0.65,0.1224899598,0.70185779
0.47,0.295,0.2,0.953815261,0.8074808106
0.87,0.78625,0.65,0.9036144578,0.5400094394
0.98,0.8725,0.25,0.2851405622,0.713821809
0.55,0.95875,0.45,0.1144578313,0.4129909166
0.91,0.68625,0.55,0.156626506,0.6305256843
0.83,0.50875,0.65,0.3634538153,0.6546145834
0.98,0.3925,0.25,0.6024096386,0.7975763127
0.13,0.86,0.15,0.9417670683,0.2131566811
0.62,0.36625,0.3,0.2269076305,0.7814523847
0.72,0.56875,0.45,0.375502008,0.6549255005
0.65,0.27375,0.95,0.781124498,0.6445567015
0.12,0.67625,0.3,0.3995983936,0.1834165689
0.7,0.56,0.25,0.3112449799,0.7386982125
0.99,0.99875,0.55,0.1144578313,0.542550295
0.79,0.3175,0.55,0.8895582329,0.7320613514
0.62,0.76125,0.4,0.0883534137,0.5458190839
0.53,0.86625,0.1,0.5020080321,0.6472412338
0.6,0.2575,0.55,0.2409638554,0.7449206843
0.86,0.45,0.65,0.7871485944,0.6851954009
0.72,0.79375,0.5,0.4518072289,0.534076979
0.47,0.685,0.45,0.5261044177,0.4682375224
0.18,0.415,0.15,0.6204819277,0.497215539
0.19,0.665,0.55,0.9558232932,0.202290507
0.12,0.51625,1,0.1265060241,0.1076670162
0.83,0.61625,0.15,0.4819277108,0.8009578828
0.87,0.69,0.9,0.2048192771,0.5024708863
0.25,0.31875,0.45,0.9859437751,0.5058549731
0.49,0.505,0.05,0.0261044177,0.7929408371
0.88,0.58125,0.05,0.9136546185,0.8647586271
0.11,0.63,0.8,0.7369477912,0.096433855
0.76,0.5575,0.8,0.9959839357,0.5549144745
0.67,0.9225,0.45,0.2570281124,0.485755819
0.63,0.77875,0.45,0.1084337349,0.5197179473
0.62,0.6325,0.65,0.218875502,0.5004374391
0.5,0.64,0.3,0.718875502,0.5846291607
0.63,0.935,0.5,0.343373494,0.4416089773
0.74,0.50875,0.2,0.9658634538,0.7924929368
0.57,0.6125,0.75,0.1526104418,0.4507287434
0.48,0.73125,0.35,0.3172690763,0.5024708863
0.98,0.27625,1,0.6887550201,0.5785847566
0.66,0.50875,1,0.9618473896,0.483307812
0.5,0.36625,0.9,0.6485943775,0.5244032576
0.32,0.46375,0.35,0.3353413655,0.5165530726
0.25,0.605,0.3,0.5763052209,0.3851525488
0.83,0.5875,0.4,0.765060241,0.7038961724
0.36,0.89625,0.6,0.4136546185,0.2628164985
0.31,0.985,0.85,0.3835341365,0.1648870476
0.86,0.45,0.2,0.0642570281,0.8296799693
0.5,0.30375,0.25,0.3915662651,0.7944498433
0.93,0.26375,0.9,0.6445783133,0.5888943555
0.13,0.705,0.8,0.4076305221,0.1017029276
0.97,0.66375,0.9,0.2449799197,0.548864204
0.29,0.4425,0.3,0.5321285141,0.5280853658
0.67,0.4325,0.5,0.983935743,0.6890300255
0.69,0.38125,0.55,0.6847389558,0.7092642551
0.19,0.6875,0.4,0.8835341365,0.2377978886
0.73,0.39125,0.8,0.781124498,0.6403771928
0.68,0.2875,0.1,0.313253012,0.8807300215
0.74,0.92375,1,0.156626506,0.3409428101
0.13,0.51,0.75,1,0.1459289685
0.96,0.995,0.25,0.9919678715,0.6742425353
0.4,0.7975,0.8,0.953815261,0.2641619402
0.48,0.25375,0.8,0.0481927711,0.6482486415
0.2,0.8775,0.3,0.0883534137,0.2327228281
0.51,0.34375,0.6,0.8514056225,0.6416277537
0.48,0.57,0.8,0.3493975904,0.4051357571
0.34,0.3325,0.7,0.686746988,0.4934401813
0.42,0.47625,0.85,0.1807228916,0.4040963353
0.58,0.3375,0.85,0.5361445783,0.6077248641
0.76,0.63125,0.5,0.2951807229,0.6206003245
0.34,0.5125,0.85,0.9417670683,0.3219486498
